Gm#,Date,Tm,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled,year,team
1,"Sunday, Apr 2",ARI,SFG,W-wo,6,5,,1-0,1,up 0.5,Rodney,Melancon,,3:23,D,49016,+,,2017,ARI
2,"Tuesday, Apr 4",ARI,SFG,L,4,8,,1-1,2,1.0,Cueto,Corbin,,3:26,N,19378,-,,2017,ARI
3,"Wednesday, Apr 5",ARI,SFG,W,8,6,,2-1,1,Tied,Walker,Moore,Rodney,3:15,N,14675,+,,2017,ARI
4,"Thursday, Apr 6",ARI,SFG,W,9,3,,3-1,1,Tied,De La Rosa,Samardzija,,3:00,N,15308,++,,2017,ARI
5,"Friday, Apr 7",ARI,CLE,W,7,3,,4-1,1,Tied,Miller,Tomlin,,3:19,N,22443,+++,,2017,ARI
6,"Saturday, Apr 8",ARI,CLE,W,11,2,,5-1,1,Tied,Greinke,Bauer,,3:15,N,28437,++++,,2017,ARI
7,"Sunday, Apr 9",ARI,CLE,W,3,2,,6-1,1,up 1.0,Corbin,Kluber,Rodney,3:02,D,30191,+++++,,2017,ARI
18,"Friday, Apr 21",ARI,LAD,W,13,5,,11-7,2,0.5,Bradley,Stripling,,3:28,N,27018,+,,2017,ARI
19,"Saturday, Apr 22",ARI,LAD,W,11,5,,12-7,2,0.5,Ray,Maeda,,3:20,N,36294,++,,2017,ARI
20,"Sunday, Apr 23",ARI,LAD,L,2,6,,12-8,2,1.5,McCarthy,Miller,,2:54,D,28704,-,,2017,ARI
21,"Monday, Apr 24",ARI,SDP,W,7,6,,13-8,2,1.5,Greinke,Chacin,Rodney,3:05,N,14758,+,,2017,ARI
22,"Tuesday, Apr 25",ARI,SDP,W,9,3,,14-8,2,0.5,Corbin,Richard,,3:02,N,17531,++,,2017,ARI
23,"Wednesday, Apr 26",ARI,SDP,L,5,8,,14-9,2,0.5,Buchter,Rodney,Maurer,3:14,N,12215,-,,2017,ARI
24,"Thursday, Apr 27",ARI,SDP,W,6,2,,15-9,1,up 0.5,Walker,Weaver,,2:21,N,15452,+,,2017,ARI
25,"Friday, Apr 28",ARI,COL,L,1,3,,15-10,2,0.5,Freeland,Ray,Holland,2:53,N,19300,-,,2017,ARI
26,"Saturday, Apr 29",ARI,COL,L,6,7,,15-11,2,1.5,Estevez,Rodney,Holland,3:38,N,30445,--,,2017,ARI
27,"Sunday, Apr 30",ARI,COL,W-wo,2,0,13,16-11,2,0.5,Delgado,Lyles,,4:02,D,23613,+,,2017,ARI
34,"Tuesday, May 9",ARI,DET,L,3,7,,18-16,3,3.0,Verlander,Ray,,3:22,N,20445,---,,2017,ARI
35,"Wednesday, May 10",ARI,DET,W,7,1,,19-16,3,3.0,Godley,Boyd,,2:37,N,18897,+,,2017,ARI
36,"Thursday, May 11",ARI,PIT,W,2,1,,20-16,3,3.0,Greinke,Cole,Rodney,2:34,N,17527,++,,2017,ARI
37,"Friday, May 12",ARI,PIT,W,11,4,,21-16,3,2.0,Corbin,Glasnow,,2:57,N,21911,+++,,2017,ARI
38,"Saturday, May 13",ARI,PIT,L,3,4,,21-17,3,2.0,Williams,Walker,Watson,3:00,N,31673,-,,2017,ARI
39,"Sunday, May 14",ARI,PIT,L,4,6,10,21-18,3,3.0,Watson,Wilhelmsen,,4:08,D,34088,--,,2017,ARI
40,"Monday, May 15",ARI,NYM,W,7,3,,22-18,3,2.5,De La Rosa,Robles,,3:02,N,15988,+,,2017,ARI
41,"Tuesday, May 16",ARI,NYM,W,5,4,,23-18,2,2.5,Greinke,Milone,Rodney,2:52,N,17471,++,,2017,ARI
42,"Wednesday, May 17",ARI,NYM,W-wo,5,4,11,24-18,2,2.0,Wilhelmsen,Montero,,3:30,D,19842,+++,,2017,ARI
46,"Monday, May 22",ARI,CHW,W,5,1,,27-19,2,2.0,Greinke,Gonzalez,,2:39,N,18333,+,,2017,ARI
47,"Tuesday, May 23",ARI,CHW,W,5,4,,28-19,2,2.0,Corbin,Covey,Rodney,2:56,N,17865,++,,2017,ARI
48,"Wednesday, May 24",ARI,CHW,W,8,6,,29-19,2,2.0,Chafin,Quintana,Rodney,3:02,D,18002,+++,,2017,ARI
60,"Tuesday, Jun 6",ARI,SDP,W,10,2,,35-25,2,2.0,Ray,Lamet,,2:52,N,25883,+,,2017,ARI
61,"Wednesday, Jun 7",ARI,SDP,W,7,4,,36-25,2,2.0,Greinke,Perdomo,Rodney,3:48,N,22079,++,,2017,ARI
62,"Thursday, Jun 8",ARI,SDP,W,15,3,,37-25,2,2.0,Corbin,Richard,,2:59,D,21340,+++,,2017,ARI
63,"Friday, Jun 9",ARI,MIL,L,6,8,,37-26,3,3.0,Davies,McFarland,Knebel,3:38,N,25009,-,,2017,ARI
64,"Saturday, Jun 10",ARI,MIL,W,3,2,,38-26,3,3.0,Godley,Guerra,Rodney,2:43,N,40195,+,,2017,ARI
65,"Sunday, Jun 11",ARI,MIL,W,11,1,,39-26,3,2.0,Ray,Anderson,,3:26,D,30370,++,,2017,ARI
74,"Friday, Jun 23",ARI,PHI,L,1,6,,46-28,2,2.5,Leiter,Corbin,,2:54,N,31648,-,,2017,ARI
75,"Saturday, Jun 24",ARI,PHI,W,9,2,,47-28,2,2.5,Ray,Lively,,3:05,N,40557,+,,2017,ARI
76,"Sunday, Jun 25",ARI,PHI,W-wo,2,1,11,48-28,2,2.5,McFarland,Ramos,,3:50,D,28179,++,,2017,ARI
77,"Monday, Jun 26",ARI,PHI,W,6,1,,49-28,2,1.5,Greinke,Pivetta,,3:11,D,20765,+++,,2017,ARI
78,"Tuesday, Jun 27",ARI,STL,W-wo,6,5,10,50-28,2,1.5,Rodney,Bowman,,3:22,N,24256,++++,,2017,ARI
79,"Wednesday, Jun 28",ARI,STL,L,3,4,,50-29,2,1.5,Wainwright,Godley,Rosenthal,3:18,N,23188,-,,2017,ARI
80,"Thursday, Jun 29",ARI,STL,L,4,10,,50-30,2,2.5,Lynn,De La Rosa,,3:18,D,27603,--,,2017,ARI
81,"Friday, Jun 30",ARI,COL,L,3,6,,50-31,2,3.5,Gray,Ray,Holland,3:31,N,23275,---,,2017,ARI
82,"Saturday, Jul 1",ARI,COL,W,6,2,,51-31,2,3.5,Greinke,Chatwood,Rodney,2:38,N,46338,+,,2017,ARI
83,"Sunday, Jul 2",ARI,COL,W-wo,4,3,,52-31,2,2.5,Rodney,Ottavino,,3:04,D,34556,++,,2017,ARI
87,"Friday, Jul 7",ARI,CIN,W,6,3,,53-34,2,5.5,Greinke,Adleman,Rodney,2:57,N,27006,+,,2017,ARI
88,"Saturday, Jul 8",ARI,CIN,L,0,7,,53-35,2,6.5,Castillo,Walker,,3:00,N,29806,-,,2017,ARI
89,"Sunday, Jul 9",ARI,CIN,L,1,2,,53-36,2,7.5,Bailey,Corbin,Iglesias,2:53,D,24923,--,,2017,ARI
96,"Friday, Jul 21",ARI,WSN,W-wo,6,5,,56-40,2,9.5,Rodney,Romero,,3:23,N,37858,++,,2017,ARI
97,"Saturday, Jul 22",ARI,WSN,L,3,4,,56-41,2,10.5,Roark,Banda,Doolittle,2:56,N,39176,-,,2017,ARI
98,"Sunday, Jul 23",ARI,WSN,L,2,6,,56-42,3,11.5,Blanton,Ray,,3:39,D,32720,--,,2017,ARI
99,"Monday, Jul 24",ARI,ATL,W,10,2,,57-42,2,11.5,Greinke,Dickey,,3:00,N,20862,+,,2017,ARI
100,"Tuesday, Jul 25",ARI,ATL,L,3,8,,57-43,2,12.5,Foltynewicz,Hoover,,3:10,N,25069,-,,2017,ARI
101,"Wednesday, Jul 26",ARI,ATL,W,10,3,,58-43,2,12.5,Corbin,Blair,,3:17,D,25836,+,,2017,ARI
112,"Tuesday, Aug 8",ARI,LAD,W,6,3,,64-48,2,15.0,Hernandez,Watson,Rodney,2:59,N,24810,+,,2017,ARI
113,"Wednesday, Aug 9",ARI,LAD,L,2,3,,64-49,3,16.0,Wood,Greinke,Jansen,2:48,N,22670,-,,2017,ARI
114,"Thursday, Aug 10",ARI,LAD,L,6,8,,64-50,3,17.0,Darvish,Banda,Jansen,3:37,N,31396,--,,2017,ARI
115,"Friday, Aug 11",ARI,CHC,L,3,8,,64-51,3,17.0,Lackey,Walker,,3:23,N,39131,---,,2017,ARI
116,"Saturday, Aug 12",ARI,CHC,W,6,2,,65-51,2,17.0,Corbin,Lester,Hernandez,3:05,N,42219,+,,2017,ARI
117,"Sunday, Aug 13",ARI,CHC,L,2,7,,65-52,2,18.0,Arrieta,Godley,,3:12,D,41760,-,,2017,ARI
118,"Monday, Aug 14",ARI,HOU,W,2,0,,66-52,2,17.5,Greinke,McHugh,Rodney,2:48,N,20405,+,,2017,ARI
119,"Tuesday, Aug 15",ARI,HOU,L,4,9,,66-53,2,18.5,Martes,Banda,,3:07,D,16935,-,,2017,ARI
129,"Friday, Aug 25",ARI,SFG,W,4,3,,71-58,2,21.0,Greinke,Blach,Rodney,2:54,N,31924,++,,2017,ARI
130,"Saturday, Aug 26",ARI,SFG,W,2,1,,72-58,2,20.0,Walker,Bumgarner,Rodney,2:34,N,25709,+++,,2017,ARI
131,"Sunday, Aug 27",ARI,SFG,W,11,0,,73-58,2,19.0,Corbin,Stratton,,3:03,D,23210,++++,,2017,ARI
132,"Tuesday, Aug 29",ARI,LAD,W,7,6,,74-58,2,18.0,Godley,Hill,Rodney,3:08,N,25219,+++++,,2017,ARI
133,"Wednesday, Aug 30",ARI,LAD,W,6,4,,75-58,2,17.0,Ray,Ryu,Rodney,3:05,N,23321,++++++,,2017,ARI
134,"Thursday, Aug 31",ARI,LAD,W,8,1,,76-58,2,16.0,Greinke,Maeda,,3:02,D,19882,+++++++,,2017,ARI
